iter	Logloss
0	0.688984637
1	0.6845677214
2	0.6807291283
3	0.6764773243
4	0.6728762501
5	0.6689724472
6	0.6654165016
7	0.6614091261
8	0.6574512698
9	0.6537441038
10	0.6500147694
11	0.6469604204
12	0.6433682712
13	0.639916474
14	0.6368012338
15	0.6323951865
16	0.6290010416
17	0.6253768633
18	0.6222412541
19	0.6189968181
20	0.6157957833
21	0.6122836707
22	0.6083395616
23	0.6050301318
24	0.6019776542
25	0.5996437433
26	0.5973716232
27	0.5955747209
28	0.5919221482
29	0.5889406384
30	0.58552159
31	0.5827888633
32	0.580297758
33	0.5780292727
34	0.575457375
35	0.572535101
36	0.5697166515
37	0.5670201284
38	0.5644426886
39	0.5610406984
40	0.5583776798
41	0.5558882659
42	0.5538525491
43	0.5501941825
44	0.5478182019
45	0.5456632578
46	0.5440367573
47	0.5412348621
48	0.5388414275
49	0.5371040128
50	0.5342556216
51	0.5328199998
52	0.5299987793
53	0.5278408123
54	0.5254615928
55	0.5229079049
56	0.5205663285
57	0.5175548769
58	0.5147655415
59	0.512166689
60	0.5097844106
61	0.50757239
62	0.5052434453
63	0.50303362
64	0.5008030298
65	0.4983437016
66	0.4965380183
67	0.4946680249
68	0.4923480772
69	0.4903744032
70	0.488222734
71	0.4876036734
72	0.4859315404
73	0.4837762365
74	0.4824814706
75	0.4805876534
76	0.4788426813
77	0.4764340599
78	0.4746213949
79	0.4727368625
80	0.4701950145
81	0.4684414054
82	0.4666443231
83	0.4642646358
84	0.4621915277
85	0.4599427637
86	0.4591534812
87	0.4574628506
88	0.4560634685
89	0.454325694
90	0.4524218721
91	0.4507303058
92	0.4482836094
93	0.4464554697
94	0.4444722589
95	0.4427717317
96	0.4409372942
97	0.4393511358
98	0.437637545
99	0.4357700708
100	0.4339660069
101	0.4323456242
102	0.430571862
103	0.4286938074
104	0.4270711215
105	0.4252611196
106	0.4236654606
107	0.4222874192
108	0.4203800705
109	0.4187263633
110	0.4174398026
111	0.4157808412
112	0.4146888301
113	0.4132062444
114	0.4113717709
115	0.4100254707
116	0.4087981458
117	0.4076192964
118	0.4061057613
119	0.4047421149
120	0.4035264501
121	0.4022696153
122	0.4010175309
123	0.3996975017
124	0.3984278193
125	0.3968662406
126	0.395600085
127	0.3948611853
128	0.3937308114
129	0.3921071179
130	0.3913125092
131	0.389603057
132	0.3884080851
133	0.3867908694
134	0.3859111138
135	0.3847530653
136	0.3834497704
137	0.3818879038
138	0.3808650611
139	0.3800139517
140	0.3793518138
141	0.3783883149
142	0.3770631034
143	0.3758518651
144	0.3745113589
145	0.3734813186
146	0.3721028454
147	0.3708060642
148	0.3695714339
149	0.3687334241
150	0.3676879451
151	0.3664896623
152	0.3652730618
153	0.3639301444
154	0.3625890624
155	0.3616504309
156	0.3607733744
157	0.3599737635
158	0.3589580824
159	0.357439581
160	0.3562963954
161	0.3549787413
162	0.3539678466
163	0.3531665442
164	0.3520447353
165	0.3509432955
166	0.3497122279
167	0.3484717675
168	0.3472025889
169	0.3461994675
170	0.3453275573
171	0.3446253651
172	0.3437034679
173	0.3425809033
174	0.3417220925
175	0.3406772973
176	0.339741401
177	0.3389990465
178	0.3383961084
179	0.3375670235
180	0.3371154137
181	0.336373707
182	0.3356393778
183	0.3351541195
184	0.3343013548
185	0.3333697769
186	0.3322012559
187	0.3311813642
188	0.3304592348
189	0.3294701486
190	0.328341646
191	0.3275019088
192	0.3267617496
193	0.3257599957
194	0.3253040674
195	0.3245201111
196	0.3234723649
197	0.3227690931
198	0.3219895993
199	0.3211395696
200	0.3203846554
201	0.3194364512
202	0.318649328
203	0.3180029887
204	0.3172326718
205	0.3166571563
206	0.3159007666
207	0.3149439254
208	0.3139294318
209	0.3128296474
210	0.3120730418
211	0.3112201331
212	0.3102854603
213	0.3092477187
214	0.3088840988
215	0.3079917836
216	0.3073470278
217	0.3064611543
218	0.3058475998
219	0.3051334237
220	0.3046418316
221	0.3043805968
222	0.3033725811
223	0.3025956784
224	0.3022932736
225	0.3012125627
226	0.3005180359
227	0.299976061
228	0.2992265449
229	0.2985658106
230	0.2980015233
231	0.2973775144
232	0.2966191274
233	0.2956370588
234	0.2945991732
235	0.2936048328
236	0.293077073
237	0.2921495258
238	0.2914582378
239	0.2908716742
240	0.2901989559
241	0.2895088196
242	0.2890248209
243	0.288391797
244	0.2879868813
245	0.2872639242
246	0.2868742493
247	0.2861702757
248	0.2854849977
249	0.2847438128
250	0.2838257484
251	0.2830281528
252	0.2829411345
253	0.2821573581
254	0.2815115407
255	0.2811858339
256	0.2803325293
257	0.279730239
258	0.2789471464
259	0.2783322424
260	0.2778596698
261	0.2772538887
262	0.2765684668
263	0.2761429841
264	0.2755682243
265	0.274995264
266	0.2742058016
267	0.2734599203
268	0.2727277864
269	0.2718247468
270	0.2714303395
271	0.2708492099
272	0.2701686283
273	0.2695423882
274	0.2687448106
275	0.2680537926
276	0.2676210763
277	0.267054108
278	0.2665480308
279	0.2661896112
280	0.265499223
281	0.2647312632
282	0.2641116448
283	0.2637270981
284	0.2632280386
285	0.2628172748
286	0.2625523153
287	0.2620200211
288	0.2613090659
289	0.2606018714
290	0.2600828747
291	0.2596470635
292	0.2592623369
293	0.2587399033
294	0.2582685722
295	0.2575338472
296	0.2570353994
297	0.2564897717
298	0.2558933474
299	0.2554043104
300	0.2548821647
301	0.2545175732
302	0.2539565968
303	0.2535617576
304	0.2529320627
305	0.2523971054
306	0.2517868438
307	0.2513004519
